"Dataset_ID"	"Original.chronology_Compared"	"Original.chronology_VS._Newly.chronology"	"Reason"	"LegacyAge 1.0_Source"
254	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
256	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
258	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
259	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
260	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better according to references, Neotoma's only catch up one Biostratigraphic dating"	"AWI"
261	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
267	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better, Neotoma's only accepted the Biostratigphic ages"	"AWI"
268	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better, Neotoma's only accepted the Biostratigphic ages"	"AWI"
269	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better, Neotoma's only accepted the Biostratigphic ages"	"AWI"
271	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the first and last datings better"	"AWI"
272	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
275	"Two: Neotoma 1 and PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better as extracted the reservoir and also catch up all dating points"	"AWI"
278	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
279	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
281	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
284	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
285	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
287	"PalEON-STEPPS"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better"	"AWI"
294	"LAPD-1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's more reliable after the last dating "	"AWI"
298	"Three: PalEON-STEPPS, Blois et al. 2011 and Neotoma 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating better"	"AWI"
299	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
302	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon, Neotoma's only linear interpolation"	"AWI"
303	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
304	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
306	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
307	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
308	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
309	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
311	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
312	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
313	"Two: Binford 1986 and NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"All datings are lead-210, 'Binford 1986' catch up the last dating point better than AWI, our bacon model is not suitable for modelling other dating methods well"	"Neotoma_Binford 1986"
314	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"All datings are lead-210, Neotoma's catch up the last three datings better, our bacon model is not suitable for modelling other dating methods well, publication unavailable"	"Neotoma_NAPD 1"
315	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
316	"Neotoma 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Neotoma accept the average of two or more dates, AWI's accept original dates"	"AWI"
317	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the core top age better"	"AWI"
318	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
321	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
324	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
327	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
328	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's core top age more reliable as Neotom's too young"	"AWI"
329	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
330	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
331	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
332	"Two: Wang et al and PalEON-STEPPS"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up datings at 375-500 cm better"	"AWI"
333	"Wang et al"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core basal age from publication better"	"AWI"
335	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
336	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all the last dating better"	"AWI"
337	"Two: Wang et al. 2019 and BDPMQ 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's more reliable after the last dating point"	"AWI"
339	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
340	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
341	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
342	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings at 100-200 cm better, publication unavailable"	"AWI"
343	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
345	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
346	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's core top age better according to other radiocarbon model in Neotoma"	"AWI"
350	"LAPD 2"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age better according to the publication"	"AWI"
351	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
352	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
354	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
355	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
356	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
357	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
361	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
363	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age and catch up all datings better"	"AWI"
364	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
365	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
369	"PalEON-STEPPS"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority, publication unavailable"	"AWI"
374	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better and include the core top and basal ages"	"AWI"
375	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
381	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
488	"LAPD-1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better"	"AWI"
489	"Two: Blois et al. 2011 and Neotoma 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better according to references as included the basal age"	"AWI"
490	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
492	"Neotoma 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority, publication unavailable"	"AWI"
493	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
495	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
496	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon"	"AWI"
497	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
501	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
506	"Two: SKOPE and NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better according to references as included the basal age"	"AWI"
507	"Wang et al. 2019"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the first two datings better"	"AWI"
509	"LAPD 2"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last three datings better"	"AWI"
510	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
513	"Neotoma 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up datings at 400-600 cm better, publication unavailable"	"AWI"
514	"Four: NAPD 1 (radiocarbon years), NAPD 1, Neotoma 1 and SKOPE"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better and more reliable at 85 cm"	"AWI"
516	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
517	"SKOPE"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority"	"AWI"
518	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
519	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
523	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
524	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
525	"Reasoner 2"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings at high depth better"	"AWI"
527	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
530	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better"	"AWI"
531	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up datings at 250-350 cm better"	"AWI"
532	"PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the first and last datings better"	"AWI"
534	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
535	"LAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age better"	"AWI"
536	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
537	"LAPD 2"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better"	"AWI"
538	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
539	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
540	"LAPD 2"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the first dating point better"	"AWI"
543	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
547	"LAPD 2"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up datings at 85-117 cm better"	"AWI"
549	"Two: Wang et al. and COHMAP chron 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better and included basal age from publication"	"AWI"
550	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
671	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
672	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
673	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
675	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
677	"Two: Wang et al. and COHMAP chron 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better and the top age more reliable"	"AWI"
678	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
679	"Two: PalEON-STEPPS and COHMAP chron 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last two dating points better"	"AWI"
681	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"All datings are lead-210, our bacon model is not suitable for modelling other dating methods well"	"Neotoma_Wang et al."
682	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
684	"Two: Neotoma 1 and PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up more datings at high depth"	"AWI"
688	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
691	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
693	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
699	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
701	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
715	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
719	"SKOPE"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last two dating points better"	"AWI"
720	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age better"	"AWI"
723	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
772	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
773	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
774	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include one addtional age at high depth"	"AWI"
776	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
777	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
778	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
782	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
784	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority"	"AWI"
785	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
788	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
790	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
791	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
792	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
796	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
798	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
799	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
801	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
802	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better as extracted the reservoir"	"AWI"
803	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
804	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
805	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
808	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the additional dating better according to publication"	"AWI"
811	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
813	"Two: Neotoma 1 and lois et al 2011"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age better"	"AWI"
816	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
818	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better according to references"	"AWI"
820	"Two: Wang et al. and BDPMQ 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's more reliable after the last dating point"	"AWI"
821	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
823	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
828	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
829	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon"	"AWI"
834	"NAPD 1"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last second dating better"	"AWI"
835	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
841	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
843	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
847	"PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up datings at 300-500 cm better"	"AWI"
849	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
850	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
852	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
853	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
856	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
857	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
858	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Only 2 14C datings at low depth, Neotoma's catch up the first two datings consistent with author's uncalibrated model by using 'clam', publication unavailable"	"Neotoma_Giesecke et al. 2014 (MADCAP)"
860	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
866	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
867	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top age better"	"AWI"
871	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
872	"LAPD 2"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority"	"AWI"
873	"NAPD 2"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Neotoma's only linear interpolation and unrealistic, no sediment and dating information from publication"	"AWI"
876	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
878	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
880	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
966	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
968	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
969	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
971	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
973	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
974	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
976	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"we didn't find a reason for the extrapolated dating at high depth in the Neotoma model, publication unavailable"	"AWI"
977	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better, also included the top age"	"AWI"
978	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
982	"PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better"	"AWI"
986	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
987	"Wang et al. 2019"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better"	"AWI"
993	"Two: NAPD 1 and Wang et al. 2019"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"All of them ok and AWI's priority"	"AWI"
994	"Two: NAPD 1 and Wang et al. 2019"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"All of them ok and AWI's priority"	"AWI"
995	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up more dating at high depth"	"AWI"
997	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
998	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
999	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1000	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating better"	"AWI"
1001	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1002	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1003	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1006	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1008	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon"	"AWI"
1010	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1013	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1024	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1028	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1030	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1033	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1104	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1105	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1107	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1111	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
1114	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
