NeotomaTaxonName,MHVar.2
Abies,Abies
Abies alba,Abies
Abies undiff.,Abies
Acacia,Acacia
Acanthus,Acanthaceae
Acer,Acer
Acer-type,Acer
Acer campestre,Acer
Acer campestre-type,Acer
Acer cf. A. campestre,Acer
Acer negundo,Acer
Acer platanoides,Acer
Acer undiff.,Acer
Achillea,Compositae subfam. Asteroideae
Achillea-type,Compositae subfam. Asteroideae
Aconitum,Aconitum
Aconitum-type,Aconitum
Aconitum group,Aconitum
Aconitum napellus-type,Aconitum
Actaea spicata,Actaea
Adenostyles,Compositae subfam. Asteroideae
Adonis,Adonis
Adonis-type,Adonis
Adonis aestivalis,Adonis
Adonis aestivalis-type,Adonis
Adonis annua-type,Adonis
Adoxa,Adoxa moschatellina
Adoxa moschatellina,Adoxa moschatellina
Aegopodium podagraria,Apiaceae
Aesculus,Aesculus
Aesculus hippocastanum,Aesculus
Aethusa-type,Apiaceae
Aethusa cynapium,Apiaceae
Aethusa cynapium-type,Apiaceae
Agrimonia,Agrimonia/Aremonia
Agrimonia-type,Agrimonia/Aremonia
Agrimonia eupatoria,Agrimonia/Aremonia
Agrimonia eupatoria-type,Agrimonia/Aremonia
Agropyron-type,Poaceae
Agrostemma,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma-type,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma githago,Caryophyllaceae (periporate excl. Paronychioideae)
Ailanthus,Apiaceae
Alchemilla,Alchemilla/Aphanes
Alchemilla-type,Alchemilla/Aphanes
Alchemilla cf. A. glabra,Alchemilla/Aphanes
Alchemilla group,Alchemilla/Aphanes
Alchemilla pentaphyllea-type,Alchemilla/Aphanes
Alchemilla/Aphanes,Alchemilla/Aphanes
Alkanna,Alkanna-type
Allium,Liliaceae-type
Allium-type,Liliaceae-type
Allium ursinum-type,Liliaceae-type
Allium vineale-type,Liliaceae-type
Alnus,Alnus
Alnus cf. A. viridis,Alnus
Alnus glutinosa,Alnus
Alnus glutinosa-type,Alnus
Alnus glutinosa/A. incana,Alnus
Alnus incana,Alnus
Alnus undiff.,Alnus
Alnus viridis,Alnus
Alnus viridis-type,Alnus
Amaranthaceae,Chenopodiaceae/Amaranthaceae
Amaranthaceae-type,Chenopodiaceae/Amaranthaceae
Ambrosia,Ambrosia/Xanthium
Ambrosia-type,Ambrosia/Xanthium
Ammi,Apiaceae
Ammi-type,Apiaceae
Anagallis,Anagallis-type
Anagallis-type,Anagallis-type
Anagallis arvensis,Anagallis-type
Anagallis arvensis-type,Anagallis-type
Anagallis tenella,Anagallis-type
Anagallis tenella-type,Anagallis-type
Anarrhinum,Anarrhinum bellidifolium
Anchusa,Anchusa arvensis-type
Anchusa-type,Boraginaceae
Anchusa azurea,Boraginaceae
Anchusa azurea-type,Boraginaceae
Anchusa/Pulmonaria,Boraginaceae
Andromeda,Ericales (tetrads)
Andromeda polifolia,Ericales (tetrads)
Andropogon,Poaceae
Androsace,Androsace
Androsace-type,Androsace
Androsace alpina-type,Androsace
Androsace elongata-type,Androsace
Anemone,Ranunculus-type
Anemone-type,Ranunculus-type
Anemone alpina,Ranunculus-type
Anemone montana,Ranunculus-type
Anemone nemorosa,Ranunculus-type
Anemone nemorosa-type,Ranunculus-type
Anemone nemorosa/A. ranunculoides,Ranunculus-type
Anemone pulsatilla group,Ranunculus-type
Anemone sect. Hepatica,Hepatica
Anemone sect. Hepatica-type,Hepatica
Anemone sect. Pulsatilla,Ranunculus-type
Anemone sect. Pulsatilla-type,Ranunculus-type
Anemone subg. Anemone-type,Ranunculus-type
Anethum-type,Apiaceae
Anethum graveolens,Apiaceae
Angelica,Apiaceae
Angelica-type,Apiaceae
Angelica archangelica-type,Apiaceae
Angelica palustris,Apiaceae
Angelica palustris-type,Apiaceae
Angelica sylvestris,Apiaceae
Antennaria-type,Compositae subfam. Asteroideae
Anthemis,Compositae subfam. Asteroideae
Anthemis-type,Compositae subfam. Asteroideae
Anthemis-type (small),Compositae subfam. Asteroideae
Anthericum,Liliaceae-type
Anthericum-type,Liliaceae-type
Anthriscus,Apiaceae
Anthriscus caucalis,Apiaceae
Anthriscus cerefolium,Apiaceae
Anthriscus nitida/sylvestris,Apiaceae
Anthriscus sylvestris,Apiaceae
Anthriscus sylvestris-type,Apiaceae
Anthyllis,Anthyllis
Anthyllis-type,Anthyllis
Anthyllis vulneraria,Anthyllis
Aphanes,Alchemilla/Aphanes
Aphanes-type,Alchemilla/Aphanes
Aphanes arvensis-type,Alchemilla/Aphanes
Apiaceae,Apiaceae
Apiaceae (type 2),Apiaceae
Apiaceae undiff.,Apiaceae
Apium,Apiaceae
Apium-type,Apiaceae
Apium graveolens,Apiaceae
Apium inundatum-type,Apiaceae
Apium nodiflorum,Apiaceae
Aquilegia,Caltha-type
Aquilegia-type,Caltha-type
Araliaceae undiff.,Araliaceae
Arbutus,Ericales (tetrads)
Arbutus unedo,Ericales (tetrads)
Arceuthobium,Arceuthobium oxycedri
Arceuthobium oxycedri,Arceuthobium oxycedri
Arctium,Cynareae
Arctium-type,Cynareae
Arctium lappa,Cynareae
Arctium lappa-type,Cynareae
Arctium/Jurinea,Cynareae
Arctostaphylos,Ericales (tetrads)
Arctostaphylos uva-ursi,Ericales (tetrads)
Arctostaphylos uva-ursi-type,Ericales (tetrads)
Arctous alpina,Ericales (tetrads)
Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria-type,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria serpyllifolia-type,Caryophyllaceae (periporate excl. Paronychioideae)
Armeria,Plumbaginaceae
Armeria-type,Plumbaginaceae
Armeria (type A),Plumbaginaceae
Armeria (type B),Plumbaginaceae
Armeria alliacea,Plumbaginaceae
Armeria maritima,Plumbaginaceae
Armeria maritima-type,Plumbaginaceae
Armeria maritima (type A),Plumbaginaceae
Armeria maritima (type B),Plumbaginaceae
Armeria maritima subsp. elongata,Plumbaginaceae
Armeria/Limonium,Plumbaginaceae
Arnica,Compositae subfam. Asteroideae
Arnica-type,Compositae subfam. Asteroideae
Arnica montana,Compositae subfam. Asteroideae
Artemisia,Artemisia
Artemisia-type,Artemisia
Artemisia (type B),Artemisia
Artemisia campestris-type,Artemisia
Artemisia cf. A. norvegica,Artemisia
Artemisia herba-alba,Artemisia
Artemisia herba-alba-type,Artemisia
Artemisia norvegica,Artemisia
Artemisia norvegica-type,Artemisia
Artemisia sensu lato,Artemisia
Artemisia sensu stricto,Artemisia
Artemisia undiff.,Artemisia
Artemisia vulgaris-type,Artemisia
Aruncus,Aruncus/Spiraea
Aruncus-type,Aruncus/Spiraea
Aruncus dioicus,Aruncus/Spiraea
Asarum europaeum,Aristolochiaceae
Asparagus,Liliaceae-type
Asparagus-type,Liliaceae-type
Asparagus acutifolius,Liliaceae-type
Asperula-type,Rubiaceae
Asphodeline,Liliaceae-type
Asphodelus,Liliaceae-type
Asphodelus-type,Liliaceae-type
Asphodelus albus,Liliaceae-type
Asphodelus albus-type,Liliaceae-type
Asphodelus fistulosus,Liliaceae-type
Asphodelus fistulosus-type,Liliaceae-type
Aster,Compositae subfam. Asteroideae
Aster-type,Compositae subfam. Asteroideae
Aster/Achillea,Compositae subfam. Asteroideae
Aster/Achillea-type,Compositae subfam. Asteroideae
Asteraceae,Asteraceae
Asteraceae undiff.,Asteraceae
Astragalus,Astragalus-type
Astragalus-type,Astragalus-type
Astragalus alpinus,Astragalus-type
Astragalus alpinus-type,Astragalus-type
Astragalus cf. A. alpinus,Astragalus-type
Astragalus cf. A. glycyphyllos,Astragalus-type
Astragalus danicus-type,Astragalus-type
Astragalus depressus,Astragalus-type
Astragalus frigidus,Astragalus-type
Astragalus/Oxytropis-type,Astragalus-type
Astrantia,Apiaceae
Astrantia-type,Apiaceae
Astrantia major,Apiaceae
Astrantia major-type,Apiaceae
Athamanta cretensis,Apiaceae
Atractylis,Compositae subfam. Asteroideae
Atriplex,Chenopodiaceae/Amaranthaceae
Atriplex-type,Chenopodiaceae/Amaranthaceae
Atropa belladonna,Atropa-type
Avena,Poaceae
Avena-type,Poaceae
Avena sativa,Poaceae
Avena/Triticum,Poaceae
Avena/Triticum-type,Poaceae
Ballota,Galeopsis/Ballota-type
Ballota-type,Galeopsis/Ballota-type
Ballota group,Galeopsis/Ballota-type
Ballota nigra-type,Galeopsis/Ballota-type
Balsaminaceae,Impatiens
Bambusa-type,Poaceae
Barbarea-type,Brassicaceae
Bartsia,Rhinanthus-group
Bartsia-type,Rhinanthus-group
Bellidiastrum-type,Compositae subfam. Asteroideae
Bellis,Compositae subfam. Asteroideae
Bellis-type,Compositae subfam. Asteroideae
Berberis vulgaris,Berberidaceae
Berula-type,Apiaceae
Berula erecta,Apiaceae
Berula erecta-type,Apiaceae
Betula,Betula
Betula (excluding B. nana),Betula
Betula cf. B. nana,Betula
Betula fruticosa,Betula
Betula humilis,Betula
Betula nana,Betula
Betula nana-type,Betula
Betula pendula,Betula
Betula pendula/B. pubescens,Betula
Betula pubescens,Betula
Betula pubescens-type,Betula
Betula sect. Apterocaryon,Betula
Betula sect. Betula,Betula
Betula undiff.,Betula
Betula/Corylus,Betulaceae
Betula/Corylus/Myrica,Betulaceae
Betulaceae,Betulaceae
Bidens,Compositae subfam. Asteroideae
Bidens-type,Compositae subfam. Asteroideae
Bistorta,Polygonum-type (tricolporate)
Bistorta cf. B. vivipara,Polygonum-type (tricolporate)
Bistorta officinalis,Polygonum-type (tricolporate)
Bistorta officinalis-type,Polygonum-type (tricolporate)
Bistorta officinalis/B. vivipara,Polygonum-type (tricolporate)
Bistorta vivipara,Polygonum-type (tricolporate)
Bistorta vivipara-type,Polygonum-type (tricolporate)
Bituminaria bituminosa,Psoralea bituminosa
Blackstonia,Gentianaceae
Blackstonia perfoliata-type,Gentianaceae
Boraginaceae,Boraginaceae
Boraginaceae undiff.,Boraginaceae
Borago,Boraginaceae
Borago officinalis,Boraginaceae
Brassica,Brassicaceae
Brassica-type,Brassicaceae
Brassicaceae,Brassicaceae
Brassicaceae-type,Brassicaceae
Brassicaceae undiff.,Brassicaceae
Bruckenthalia,Bruckenthalia spiculifolia
Bruckenthalia-type,Bruckenthalia spiculifolia
Bryonia,Bryonia
Bryonia dioica,Bryonia
Buglossoides arvensis,Boraginaceae
Buglossoides arvensis-type,Boraginaceae
Bunium-type,Apiaceae
Buphthalmum,Compositae subfam. Asteroideae
Bupleurum,Apiaceae
Bupleurum-type,Apiaceae
Bupleurum ranunculoides,Apiaceae
Buxus,Buxus
Buxus sempervirens,Buxus
Calendula,Compositae subfam. Asteroideae
Calligonum,Calligonum-type
Calluna,Ericales (tetrads)
Calluna vulgaris,Ericales (tetrads)
Calluna vulgaris-type,Ericales (tetrads)
Caltha-type,Caltha-type
Calystegia,Calystegia
Calystegia-type,Calystegia
Calystegia sepium,Calystegia
Calystegia sepium-type,Calystegia
Campanula,Campanulaceae
Campanula-type,Campanulaceae
Campanula rapunculoides,Campanulaceae
Campanula rotundifolia,Campanulaceae
Campanula trachelium-type,Campanulaceae
Campanula/Jasione,Campanulaceae
Campanulaceae,Campanulaceae
Campanulaceae undiff.,Campanulaceae
Cannabaceae,Cannabis/Humulus
Cannabaceae-type,Cannabis/Humulus
Cannabaceae undiff.,Cannabis/Humulus
Cannabis,Cannabis/Humulus
Cannabis-type,Cannabis/Humulus
Cannabis sativa,Cannabis/Humulus
Cannabis sativa-type,Fraxinus
Caprifoliaceae,Caprifoliaceae
Capsella-type,Brassicaceae
Cardamine,Brassicaceae
Cardamine-type,Brassicaceae
Cardamine pratensis-type,Brassicaceae
Carduus,Cynareae
Carduus-type,Cynareae
Carex,Cyperaceae
Carex-type,Cyperaceae
Carex hirta-type,Cyperaceae
Carlina,Cynareae
Carlina-type,Cynareae
Carpinus,Carpinus betulus
Carpinus-type,Carpinus betulus
Carpinus betulus,Carpinus betulus
Carpinus betulus-type,Carpinus betulus
Carpinus orientalis,Ostrya/Carpinus orientalis
Carthamus,Cynareae
Carthamus-type,Cynareae
Carum,Apiaceae
Carum-type,Apiaceae
Carum carvi,Apiaceae
Carum carvi-type,Apiaceae
Carum verticillatum,Apiaceae
Carya,Carya
Carya-type,Carya
Caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae cf. Silene latifolia subsp. alba,Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae pro parte,Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae subf. Silenoideae-type,Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae undiff.,Caryophyllaceae (periporate excl. Paronychioideae)
Castanea,Castanea sativa
Castanea-type,Castanea sativa
Castanea sativa,Castanea sativa
Caucalis platycarpos,Apiaceae
Cedrus,Cedrus
Cedrus-type,Cedrus
Celastraceae,Celastraceae
Celtis,Celtis
Celtis-type,Celtis
Celtis australis,Celtis
Centaurea,Centaurea
Centaurea-type,Centaurea
Centaurea cf. C. cyanus-type,Centaurea cyanus-type
Centaurea cf. C. kotschyana,Centaurea nigra-type
Centaurea cf. C. nigra-type,Centaurea nigra-type
Centaurea cf. C. scabiosa-type,Centaurea scabiosa-type
Centaurea collina,Centaurea scabiosa-type
Centaurea collina-type,Centaurea scabiosa-type
Centaurea cyanus,Centaurea cyanus-type
Centaurea cyanus-type,Centaurea cyanus-type
Centaurea depressa-type,Centaurea cyanus-type
Centaurea jacea,Centaurea nigra-type
Centaurea jacea-type,Centaurea nigra-type
Centaurea jacea/C. scabiosa-type,Centaurea
Centaurea montana,Centaurea cyanus-type
Centaurea montana-type,Centaurea cyanus-type
Centaurea montana/Cyanus triumfettii,Centaurea cyanus-type
Centaurea nigra,Centaurea nigra-type
Centaurea nigra-type,Centaurea nigra-type
Centaurea nigra-type sensu lato,Centaurea nigra-type
Centaurea scabiosa,Centaurea scabiosa-type
Centaurea scabiosa-type,Centaurea scabiosa-type
Centaurea sinaica,Apiaceae
Centaurea solstitialis,Centaurea nigra-type
Centaurea solstitialis-type,Centaurea nigra-type
Centaurea sphaerocephala,Centaurea nigra-type
Centaurea stoebe,Centaurea nigra-type
Centaurea stoebe-type,Centaurea nigra-type
Centaurea thuillieri,Centaurea nigra-type
Centaurea undiff.,Centaurea
Centaurium,Gentianaceae
Centaurium-type,Gentianaceae
Centaurium pulchellum,Gentianaceae
Centaurium pulchellum-type,Gentianaceae
Centranthus,Valerianaceae
Cerastium,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium-type,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium alpinum-type,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium arvense,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium arvense-type,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium cerastoides-type,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium fontanum,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium fontanum-type,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium fontanum group,Caryophyllaceae (periporate excl. Paronychioideae)
Cerastium undiff.,Caryophyllaceae (periporate excl. Paronychioideae)
Ceratonia,Ceratonia siliqua
Ceratonia siliqua,Ceratonia siliqua
Cercis siliquastrum,Cercis siliquastrum
Cerinthe,Boraginaceae
Cerinthe-type,Boraginaceae
cf. Armeria,Plumbaginaceae
cf. Armeria (type A),Plumbaginaceae
cf. Atriplex,Chenopodiaceae/Amaranthaceae
cf. Avena,Poaceae
cf. Cannabis,Cannabis/Humulus
cf. Cannabis sativa,Cannabis/Humulus
cf. Centaurea nigra-type,Centaurea
cf. Centaurium,Gentianaceae
cf. Cerastium,Caryophyllaceae (periporate excl. Paronychioideae)
cf. Empetrum,Ericales (tetrads)
cf. Ephedra fragilis,Ephedra
cf. Epilobium,Onagraceae
cf. Gentiana pneumonanthe,Gentianaceae
cf. Gentianella campestris,Gentianaceae
cf. Glyceria,Poaceae
cf. Hordeum,Poaceae
cf. Humulus,Cannabis/Humulus
cf. Humulus lupulus,Cannabis/Humulus
cf. Ligusticum,Apiaceae
cf. Myrica,Corylus/Myrica
cf. Oxyria digyna,Rumex/Oxyria
cf. Peucedanum,Apiaceae
cf. Prunus,Rosaceae (non-operculate)
cf. Rosa,Rosaceae (non-operculate)
cf. Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
cf. Salix herbacea,Salix
cf. Salix polaris,Salix
cf. Sambucus nigra,Sambucus
cf. Sambucus racemosa,Sambucus
cf. Secale,Poaceae
cf. Silene,Caryophyllaceae (periporate excl. Paronychioideae)
cf. Sorbus,Rosaceae (non-operculate)
cf. Sorbus aucuparia,Rosaceae (non-operculate)
cf. Stellaria,Caryophyllaceae (periporate excl. Paronychioideae)
cf. Taraxacum,Compositae subfam. Cichorioideae
cf. Thymus,Labiatae (6)
cf. Triticum,Poaceae
cf. Triticum turgidum subsp. dicoccon,Poaceae
cf. Vaccinium,Ericales (tetrads)
Chaerophyllum,Apiaceae
Chaerophyllum-type,Apiaceae
Chaerophyllum hirsutum-type,Apiaceae
Chaerophyllum temulum,Apiaceae
Chamaenerion,Onagraceae
Chamaenerion angustifolium,Onagraceae
Chamaenerion angustifolium-type,Onagraceae
Chamaerops,Chamaerops
Chelidonium,Chelidonium majus
Chelidonium-type,Chelidonium majus
Chelidonium majus,Chelidonium majus
Chenopodium,Chenopodiaceae/Amaranthaceae
Chenopodium-type,Chenopodiaceae/Amaranthaceae
Chenopodium album,Chenopodiaceae/Amaranthaceae
Chrysanthemum,Compositae subfam. Asteroideae
Chrysanthemum-type,Compositae subfam. Asteroideae
Chrysosplenium,Chrysosplenium
Chrysosplenium-type,Chrysosplenium
Chrysosplenium alternifolium,Chrysosplenium
Chrysosplenium oppositifolium,Chrysosplenium
Chrysosplenium undiff.,Chrysosplenium
Cichorium,Compositae subfam. Cichorioideae
Cichorium intybus-type,Compositae subfam. Cichorioideae
Cicuta virosa,Apiaceae
Circaea,Onagraceae
Circaea-type,Onagraceae
Circaea lutetiana,Onagraceae
Cirsium,Cynareae
Cirsium-type,Cynareae
Cirsium helenioides,Cynareae
Cirsium/Carduus,Cynareae
Cirsium/Carduus-type,Cynareae
Cistaceae,Cistaceae
Cistaceae undiff.,Cistaceae
Cistus,Cistus
Cistus-type,Cistus
Cistus-type undiff.,Cistus
Cistus albidus-type,Cistus
Cistus incanus-type,Cistus
Cistus ladanifer,Cistus
Cistus ladanifer-type,Cistus
Cistus monspeliensis,Cistus
Cistus monspeliensis-type,Cistus
Cistus salviifolius,Cistus
Cistus undiff.,Cistus
Citrus,Citrus
Clematis,Ranunculus-type
Clematis-type,Ranunculus-type
Colchicum,Liliaceae-type
Colchicum-type,Liliaceae-type
Colchicum autumnale,Liliaceae-type
Colchicum autumnale-type,Liliaceae-type
Colchicum filifolium-type,Liliaceae-type
Colchicum montanum,Liliaceae-type
Comarum-type,Rosaceae (operculate)
Conium-type,Apiaceae
Conium maculatum,Apiaceae
Conium maculatum-type,Apiaceae
Conopodium-type,Apiaceae
Conopodium majus,Apiaceae
Consolida,Consolida-type
Consolida-type,Consolida-type
Consolida regalis-type,Consolida-type
Convallaria,Liliaceae-type
Convallaria-type,Liliaceae-type
Convallaria majalis,Liliaceae-type
Convolvulus,Convolvulus
Convolvulus-type,Convolvulus
Convolvulus arvensis,Convolvulus
Convolvulus arvensis-type,Convolvulus
Corema album,Ericales (tetrads)
Coriaria,Coriaria myrtifolia
Coriaria myrtifolia,Coriaria myrtifolia
Cornaceae,Cornus
Cornus,Cornus
Cornus cf. C. suecica,Cornus
Cornus mas,Cornus
Cornus mas-type,Cornus
Cornus mas/C. suecica,Cornus
Cornus sanguinea,Cornus
Cornus sanguinea-type,Cornus
Cornus subg. Thelycrania,Cornus
Cornus suecica,Cornus
Cornus undiff.,Cornus
Coronilla,Coronilla-type
Coronilla-type,Coronilla-type
Coronilla undiff.,Coronilla-type
Corrigiola,Corrigiola litoralis
Corrigiola litoralis,Corrigiola litoralis
Corydalis,Corydalis
Corydalis cava-type,Corydalis
Corydalis pumila-type,Corydalis
Corydalis solida-type,Corydalis
Corylus,Corylus/Myrica
Corylus-type,Corylus/Myrica
Corylus avellana,Corylus/Myrica
Corylus avellana-type,Corylus/Myrica
Corylus/Myrica,Corylus/Myrica
Cotinus-type,Rhus/Cotinus
Cotinus coggygria,Rhus/Cotinus
Cousinia,Cynareae
Crassula,Crassulaceae
Crassulaceae,Crassulaceae
Crassulaceae undiff.,Crassulaceae
Crataegus,Rosaceae (non-operculate)
Crataegus-type,Rosaceae (non-operculate)
Crataegus monogyna,Rosaceae (non-operculate)
Crepis,Compositae subfam. Cichorioideae
Crepis-type,Compositae subfam. Cichorioideae
Crocus,Liliaceae-type
Crocus vernus,Liliaceae-type
Crupina,Cynareae
Crupina-type,Cynareae
Cryptomeria,Cryptomeria-type
Cupressaceae,Juniperus-type
Cupressaceae-type,Juniperus-type
Cupressus,Juniperus-type
Cuscuta,Cuscuta
Cuscuta-type,Cuscuta
Cuscuta epithymum,Cuscuta
Cuscuta europaea,Cuscuta
Cuscuta europaea-type,Cuscuta
Cuscuta lupuliformis,Cuscuta
Cyanus triumfettii-type,Centaurea cyanus-type
Cyclamen,Cyclamen
Cyclamen hederifolium,Cyclamen
Cyclamen purpurascens,Cyclamen
Cynoglossum,Cynoglossum-type
Cynoglossum-type,Cynoglossum-type
Cynoglossum officinale-type,Cynoglossum-type
Cyperaceae,Cyperaceae
Cyperaceae undiff.,Cyperaceae
Cyperus,Cyperaceae
Cyperus-type,Cyperaceae
Cyperus capitatus,Cyperaceae
Cytisus,Genista-group
Cytisus-type,Genista-group
Cytisus grandiflorus,Genista-group
Cytisus scoparius,Genista-group
Cytisus/Genista-type,Genista-group
Dactylis-type,Poaceae
Daphne,Thymelaeaceae
Daphne-type,Thymelaeaceae
Daphne gnidium-type,Thymelaeaceae
Datisca,Datisca cannabina
Datisca cannabina,Datisca cannabina
Datura,Datura
Datura stramonium,Datura
Daucus,Apiaceae
Daucus-type,Apiaceae
Daucus carota,Apiaceae
Daucus carota-type,Apiaceae
Delphinium,Consolida-type
Delphinium-type,Consolida-type
Delphinium ambiguum,Consolida-type
Descurainia sophia,Brassicaceae
Descurainia sophia-type,Brassicaceae
Dianthus,Caryophyllaceae (periporate excl. Paronychioideae)
Dianthus-type,Caryophyllaceae (periporate excl. Paronychioideae)
Dianthus lusitanus-type,Caryophyllaceae (periporate excl. Paronychioideae)
Dianthus superbus-type,Caryophyllaceae (periporate excl. Paronychioideae)
Diapensia,Diapensia lapponica
Diapensia lapponica,Diapensia lapponica
Dictamnus albus,Dictamnus albus
Digitalis,Scrophulariaceae (colporate-reticulate)
Digitalis-type,Scrophulariaceae (colporate-reticulate)
Digitalis purpurea,Scrophulariaceae (colporate-reticulate)
Digitalis purpurea-type,Scrophulariaceae (colporate-reticulate)
Dioscorea,Tamus communis
Dioscorea communis,Tamus communis
Dipsacus,Dipsacaceae
Dipsacus-type,Dipsacaceae
Dipsacus fullonum,Dipsacaceae
Dipsacus fullonum-type,Dipsacaceae
Doronicum,Compositae subfam. Asteroideae
Dorycnium,Dorycnium
Dorycnium-type,Dorycnium
Draba,Brassicaceae
Draba-type,Brassicaceae
Droseraceae,Drosera
Dryas,Rosaceae (non-operculate)
Dryas-type,Rosaceae (non-operculate)
Dryas octopetala,Rosaceae (non-operculate)
Echinops,Cynareae
Echinops ritro,Cynareae
Echium,Echium/Onosma
Echium-type,Echium/Onosma
Echium vulgare,Echium/Onosma
Echium/Onosma,Echium/Onosma
Elymus,Poaceae
Elymus-type,Poaceae
Empetrum,Ericales (tetrads)
Empetrum-type,Ericales (tetrads)
Empetrum cf. E. nigrum,Ericales (tetrads)
Empetrum nigrum,Ericales (tetrads)
Empetrum nigrum-type,Ericales (tetrads)
Engelhardia-type,Engelhardtia
Ephedra,Ephedra
Ephedra cf. E. foeminea,Ephedra
Ephedra cf. E. fragilis,Ephedra
Ephedra distachya,Ephedra
Ephedra distachya-type,Ephedra
Ephedra distachya subsp. helvetica-type,Ephedra
Ephedra distachya/E. major subsp. major,Ephedra
Ephedra foeminea-type,Ephedra
Ephedra fragilis,Ephedra
Ephedra fragilis-type,Ephedra
Ephedra major,Ephedra
Ephedra strobilacea,Ephedra
Ephedra strobilacea-type,Ephedra
Ephedra undiff.,Ephedra
Epilobium,Onagraceae
Epilobium-type,Onagraceae
Epilobium undiff.,Onagraceae
Epipactis,Orchidaceae
Epipactis palustris,Orchidaceae
Epipactis palustris-type,Orchidaceae
Eranthis hyemalis,Eranthis hyemalis
Erica,Ericales (tetrads)
Erica-type,Ericales (tetrads)
Erica arborea,Ericales (tetrads)
Erica arborea-type,Ericales (tetrads)
Erica australis,Ericales (tetrads)
Erica australis-type,Ericales (tetrads)
Erica cf. E. tetralix,Ericales (tetrads)
Erica ciliaris-type,Ericales (tetrads)
Erica cinerea,Ericales (tetrads)
Erica cinerea/E. tetralix,Ericales (tetrads)
Erica erigena,Ericales (tetrads)
Erica lusitanica,Ericales (tetrads)
Erica multiflora-type,Ericales (tetrads)
Erica scoparia-type,Ericales (tetrads)
Erica tetralix,Ericales (tetrads)
Erica tetralix-type,Ericales (tetrads)
Erica umbellata,Ericales (tetrads)
Erica umbellata-type,Ericales (tetrads)
Erica undiff.,Ericales (tetrads)
Ericaceae,Ericales (tetrads)
Ericaceae-type,Ericales (tetrads)
Ericaceae sensu lato,Ericales (tetrads)
Ericaceae subf. Monotropoideae,Ericales (tetrads)
Ericaceae subf. Vaccinioideae,Ericales (tetrads)
Ericaceae undiff.,Ericales (tetrads)
Ericales,Ericales (tetrads)
Ericales (tetrad),Ericales (tetrads)
Ericales undiff.,Ericales (tetrads)
Erigeron,Compositae subfam. Asteroideae
Erodium,Erodium
Eryngium,Apiaceae
Eryngium-type,Apiaceae
Eryngium campestre,Apiaceae
Eryngium campestre-type,Apiaceae
Eucalyptus,Myrtaceae
Euonymus,Euonymus
Euonymus europaeus,Euonymus
Eupatorium,Compositae subfam. Asteroideae
Eupatorium-type,Compositae subfam. Asteroideae
Eupatorium cannabinum-type,Compositae subfam. Asteroideae
Euphorbia,Euphorbiaceae
Euphorbia-type,Euphorbiaceae
Euphorbia cf. E. palustris,Euphorbiaceae
Euphorbiaceae,Euphorbiaceae
Euphorbiaceae undiff.,Euphorbiaceae
Euphrasia,Rhinanthus-group
Euphrasia-type,Rhinanthus-group
Fabaceae,Fabaceae
Fabaceae pro parte,Fabaceae
Fabaceae undiff.,Fabaceae
Fabaceae: Lotus-type,Lotus-type
Fabaceae: Onobrychis-type,Onobrychis-type
Fagopyrum,Fagopyrum
Fagopyrum-type,Fagopyrum
Fagopyrum esculentum,Fagopyrum
Fagopyrum tataricum,Fagopyrum
Fagopyrum undiff.,Fagopyrum
Fagus,Fagus
Fagus sylvatica,Fagus
Falcaria-type,Apiaceae
Falcaria vulgaris,Apiaceae
Falcaria vulgaris-type,Apiaceae
Fallopia,Polygonum-type (tricolporate)
Fallopia convolvulus,Polygonum-type (tricolporate)
Fallopia convolvulus-type,Polygonum-type (tricolporate)
Fallopia convolvulus/F. dumetorum,Polygonum-type (tricolporate)
Ferula-type,Apiaceae
Festuca-type,Poaceae
Ficaria verna,Ranunculus-type
Ficus,Ficus carica
Ficus carica,Ficus carica
Filago,Compositae subfam. Asteroideae
Filago-type,Compositae subfam. Asteroideae
Filipendula,Filipendula
Filipendula-type,Filipendula
Filipendula ulmaria,Filipendula
Filipendula vulgaris,Filipendula
Foeniculum vulgare,Apiaceae
Frangula,Rhamnaceae
Frangula alnus,Rhamnaceae
Fraxinus,Fraxinus
Fraxinus angustifolia,Fraxinus
Fraxinus angustifolia-type,Fraxinus
Fraxinus excelsior,Fraxinus
Fraxinus excelsior-type,Fraxinus
Fraxinus ornus,Fraxinus
