TaxonName,Harmonisation
Aconogonon alpinum-type,Polygonaceae
Aconogonon ochreatum,Polygonaceae
Aconogonon tripterocarpum,Polygonaceae
Acoraceae,Acoraceae
Acorales,Acorales
Acorus,Acoraceae
Acorus calamus,Delete
Acreuthobium,Santalaceae
Acridocarpus,Acridocarpus
Acrisione,Asteraceae
Acritarcha,Delete
Acrocomia,Acrocomia
Acronychia,Acronychia
Acronychia comp.,Acronychia
Acroperus harpae,Delete
Acroptilon,Asteraceae
Acrostichum,Delete
Acrostichum aureum,Delete
Acrostichum-type,Delete
"Acrotritia ardua (type 106, HdV)",Delete
Actaea,Ranunculaceae
Actaea rubra,Ranunculaceae
Actaea spicata,Ranunculaceae
Actaea spicata-type,Ranunculaceae
Actaea-type,Ranunculaceae
Actinidia,Actinidiaceae
Actinidiaceae,Actinidiaceae
actinidiaceae,Actinidiaceae
Actinopeltis,Delete
Actinopeltis undiff.,Delete
Actinostemma,Cucurbitaceae
Actinostemon,Euphorbiaceae
Actinostemon concolor,Euphorbiaceae
Actinostemon/Euphorbia,Euphorbiaceae
Adansonia,Adansonia
Adansonia digitata,Adansonia
Adelobotrys,Adelobotrys
Adelobotrys-type,Adelobotrys
Adenandra,Rutaceae
Adenanthera,Adenanthera
Adenia,Passifloraceae
Adenia-type,Passifloraceae
Adenium,Adenanthera
Adenopeltis,Euphorbiaceae
Adenophora,Campanulaceae
Adenorandia,Rubiaceae
Adenorandia kalbreyeri,Rubiaceae
Adenorandia-type (A. kalbreyeri),Rubiaceae
Adenostemma,Asteraceae
Adenostemma viscosum,Asteraceae
Adenostoma,Rosaceae
Adenostoma fasciculatum,Rosaceae
Adenostoma sparsifolium,Rosaceae
Adenostyles,Asteraceae
Adenostyles alliariae,Asteraceae
Adenostyles-type,Asteraceae
Adesmia,Fabaceae
Adesmia sp.,Fabaceae
Adiantaceae,Delete
Adiantum,Delete
Adiantum aleuticum,Delete
Adiantum capillus-veneris,Delete
Adiantum pedatum,Delete
Adiantum/Dennstaedtia,Delete
Adiantum-type,Delete
Adina,Adina
Adinandra,Pentaphylacaceae
Adina-type,Adina
Adiscanthus,Rutaceae
Adonis,Ranunculaceae
Adonis aestivalis,Ranunculaceae
Adonis aestivalis/A. flammea,Ranunculaceae
Adonis aestivalis-type,Ranunculaceae
Adonis annua,Ranunculaceae
Adonis annua-type,Ranunculaceae
Adonis type,Ranunculaceae
Adonis vernalis,Ranunculaceae
Adonis-type,Ranunculaceae
Adoxa,Adoxaceae
Adoxa moschatellina,Adoxaceae
Adoxaceae,Adoxaceae
Aechmea,Bromeliaceae
Aegiphila,Lamiaceae
Aegiphila-type,Lamiaceae
Aegle,Aegle
Aegle marmelos,Aegle
Aegopodium,Apiaceae
Aegopodium podagraria,Apiaceae
Aellenia-type,Amaranthaceae
Aerva,Amaranthaceae
Aerva javanica,Amaranthaceae
Aerva javanica-type,Amaranthaceae
Aerva lanata,Amaranthaceae
Aerva lanata-type,Amaranthaceae
Aerva-type,Amaranthaceae
Aerva-type (A. javanica),Amaranthaceae
Aerva-type (A. lanata),Amaranthaceae
Aeschynomene,Fabaceae
Aeschynomene baumii-type,Fabaceae
Aeschynomene-type,Fabaceae
Aeschynomene-type (A. baumii),Fabaceae
Aesculus,Aesculus
Aesculus hip. Cf,Aesculus
Aesculus hippocastanum,Aesculus
Aetanthus,Loranthaceae
Aethusa,Apiaceae
Aethusa cynapium,Apiaceae
Aethusa cynapium-type,Apiaceae
Aethusa-type,Apiaceae
Aextoxicaceae,Aextoxicaceae
Aextoxicon,Aextoxicon
Aextoxicon punctatum,Aextoxicon
aff. Astronium,Astronium
aff. Casuarina,Casuarina
aff. Colubrina,Colubrina
aff. Dalechampia,Euphorbiaceae
aff. Fissicalyx,Fabaceae
aff. Gaylussacia,Ericales
aff. Malvaceae,Malvaceae
aff. Melanoxylon,Fabaceae
aff. Posoqueria,Posoqueria
aff. Trichilia,Trichilia
aff. Triumfetta,Malvaceae
aff. Viola,Violaceae
Afraegle,Afraegle
Afraegle paniculata,Afraegle
Afraegle-type,Afraegle
Afraegle-type (A. paniculata),Afraegle
Afrocrania,Cornus
Afrocrania volkensii,Cornus
Afrormosia,Pericopsis
Afzelia,Afzelia
Afzelia africana,Afzelia
Agalinis,Orobanchaceae
Agalinis-type,Orobanchaceae
Aganosma,Apocynaceae
Agarista,Ericales
Agastache,Lamiaceae
Agastache-type,Lamiaceae
Agastachys,Agastachys
Agastachys odorata,Agastachys
Agathis,Agathis
Agathis australis,Agathis
Agathosma,Rutaceae
Agathosma-type,Rutaceae
Agavaceae,Asparagaceae
Agave,Asparagaceae
Agave cf. A. cerulata,Asparagaceae
Agave cf. A. lecheguilla,Asparagaceae
Agave cf. A. neomexicana,Asparagaceae
Agave cf. A. nevadensis,Asparagaceae
Agave cf. A. parryi subsp. neomexicana,Asparagaceae
Agave cf. A. utahensis var. nevadensis,Asparagaceae
Agave deserti,Asparagaceae
Agave lecheguilla,Asparagaceae
Agave neomexicana,Asparagaceae
Agave parryi,Asparagaceae
Agave parryi subsp. neomexicana,Asparagaceae
Agave sp.,Asparagaceae
Agavoideae,Asparagaceae
Ageratum,Asteraceae
Ageratum houstonianum,Asteraceae
Ageratum-type,Asteraceae
Aglaia,Aglaia
Aglaia comp.,Aglaia
Aglaia-type,Aglaia
Agoseris,Asteraceae
Agoseris glauca-type,Asteraceae
Agoseris-type,Asteraceae
Agrimonia,Rosaceae
Agrimonia cf. A. eupatoria,Rosaceae
Agrimonia eupatoria,Rosaceae
Agrimonia eupatoria-type,Rosaceae
Agrimonia/Aremonia,Rosaceae
Agrimonia-type,Rosaceae
Agriophyllum,Amaranthaceae
Agropyron,Poaceae
Agropyron cf. A. smithii,Poaceae
Agropyron sp.,Poaceae
Agropyron spicatum,Poaceae
Agropyron-type,Poaceae
Agrostemma,Caryophyllaceae
Agrostemma githago,Caryophyllaceae
Agrostemma-type,Caryophyllaceae
Agrostis,Poaceae
Aguatic,Delete
Aidia,Aidia
Aidia micrantha-type,Aidia
Aidia/Catunaregam,Aidia
Aidia-type,Aidia
Aidia-type (A. micrantha),Aidia
Ailanthus,Ailanthus
Ailanthus altissima,Ailanthus
Ainsliaea,Asteraceae
Aizoaceae,Aizoaceae
Aizoaceae undiff.,Aizoaceae
Aizoaceae-type,Aizoaceae
Ajania,Asteraceae
Ajuga,Lamiaceae
Ajuga-type,Lamiaceae
Alangium,Alangium
Alangium kurzii,Alangium
Alangium kurzii-type,Alangium
Alangium villosum,Alangium
Alangium villosum-type,Alangium
Albizia,Albizia
Albizia-type,Albizia
Albiziaÿÿÿ,Albizia
Albizzia,Albizia
Alchemilla,Rosaceae
Alchemilla arvensis,Rosaceae
Alchemilla cf. A. glabra,Rosaceae
Alchemilla group,Rosaceae
Alchemilla pentaphyllea,Rosaceae
Alchemilla pentaphyllea-type,Rosaceae
Alchemilla sp.,Rosaceae
Alchemilla/Aphanes,Rosaceae
Alchemilla-type,Rosaceae
Alchornea,Alchornea
Alchornea (type 1),Alchornea
Alchornea (type 2),Alchornea
Alchornea latifolia,Alchornea
Alchornea undiff.,Alchornea
Alchornea/Aparisthmium,Alchornea
Alchornea/Conceveibum,Alchornea
Alchornea-type,Alchornea
Alchorneopsis,Alchorneopsis
Alchorneopsis floribunda,Alchorneopsis
Aldina,Aldina
Alectryon,Alectryon
Aleurites,Aleurites
Aleurites moluccanus,Aleurites
Aleurites-type,Aleurites
Aleuritopteris,Delete
Alfaroa,Alfaroa
Alfaroa/Oreomunnea,Alfaroa
Algae,Delete
Algae (ellipse),Delete
Algae (large),Delete
Algae (little thron ball),Delete
Algae (middle thron ball),Delete
Algae (Miesotia),Delete
Algae (reticulate),Delete
Algae (small),Delete
Algae (spherical I),Delete
Algae (spherical II),Delete
Algae (spherical III),Delete
Algae (spherical IV),Delete
"Algae (type 18, Helmens & Kuhry 1986)",Delete
"Algae (type 19, Helmens & Kuhry 1986)",Delete
"Algae (type 20, Helmens & Kuhry 1986)",Delete
"Algae (type 209, HdV)",Delete
Algae (type 22),Delete
Algae (type 3),Delete
"Algae (type 317, HdV)",Delete
Algae (type 4),Delete
Algae (type 6),Delete
Algae (type A),Delete
Algae (type B),Delete
Algae (type C),Delete
Algae Spore,Delete
Algae undiff.,Delete
Algae(cystae),Delete
"Algae? (type 128A, HdV)",Delete
"Algae? (type 128B, HdV)",Delete
"Algae? (type 225, HdV)",Delete
"Algae? (type 229, HdV)",Delete
"Algae? (type 249, TM)",Delete
"Algae? (type 341B, HdV)",Delete
"Algae? (type 356, HdV)",Delete
"Algae? (type 520, TM)",Delete
Algae1,Delete
Algae2,Delete
Algae3,Delete
Algae-type,Delete
Alhagi,Fabaceae
Alibertia,Alibertia
Alibertia edulis,Alibertia
Alibertia-type,Alibertia
Aliquot on slide,Delete
Alisma,Delete
Alisma,Delete
Alisma cf. A. plantago-aquatica,Delete
Alisma gramineum-type,Delete
Alisma group,Delete
Alisma plantago aquatica-type,Delete
Alisma plantago-aquatica,Delete
Alisma plantago-aquatica group,Delete
Alisma plantago-aquatica-type,Delete
Alisma sp.,Delete
Alisma+Typha+Potamogeton,Delete
Alismataceae,Delete
Alismataceae,Delete
Alismataceae t.,Delete
Alismataceae undiff.,Delete
Alisma-type,Delete
Alkanna,Boraginaceae
Alkanna-type,Boraginaceae
Allanblackia,Allanblackia
Allenrolfea,Amaranthaceae
Allenrolfea occidentalis,Amaranthaceae
Alliaria,Brassicaceae
Alliaria-type,Brassicaceae
Allionia,Nyctaginaceae
Allionia incarnata,Nyctaginaceae
Allium,Amaryllidaceae
Allium oleraceum-type,Amaryllidaceae
Allium suaveolens,Amaryllidaceae
Allium type,Amaryllidaceae
Allium undiff.,Amaryllidaceae
Allium ursinum,Amaryllidaceae
Allium ursinum-type,Amaryllidaceae
Allium vineale,Amaryllidaceae
Allium vineale-type,Amaryllidaceae
Allium-t.,Amaryllidaceae
Allium-Typ,Amaryllidaceae
Allium-type,Amaryllidaceae
Allocasuarina,Allocasuarina
Allophyllus,Allophylus
Allophylus,Allophylus
"Allophylus (Mauritius type 90, de Boer)",Allophylus
Allophylus africanus,Allophylus
Allophylus-type,Allophylus
Alnaster,Alnus
Alnaster fruticosa,Alnus
Alnaster fruticosus,Alnus
Alniphyllum,Styracaceae
Alnus,Alnus
Alnus,Alnus
Alnus (Baum),Alnus
Alnus (excluding A. viridis),Alnus
Alnus (hexaporate),Alnus
Alnus (pentaporate),Alnus
"Alnus (shrub, pale shallow pores)",Alnus
Alnus (small),Alnus
Alnus (Strauch),Alnus
Alnus (tetraporate),Alnus
"Alnus (tree, robust deep pores)",Alnus
Alnus (triporate),Alnus
Alnus acuminata,Alnus
Alnus cf. A. incana,Alnus
Alnus cf. A. viridis,Alnus
Alnus cf. A. viridis subsp. crispa,Alnus
Alnus cf.fiuticosa,Alnus
Alnus cf.hirsuta,Alnus
Alnus crispa,Alnus
Alnus crispa-type,Alnus
Alnus fruticosa,Alnus
Alnus fruticosa-type,Alnus
Alnus glutinosa,Alnus
Alnus glutinosa type,Alnus
Alnus glutinosa/A. incana,Alnus
Alnus glutinosa/A. incana-type,Alnus
Alnus glutinosa/Betula,Alnus
Alnus glutinosa-type,Alnus
Alnus hirsuta,Alnus
Alnus hirsuta-type,Alnus
Alnus incana,Alnus
Alnus incana subsp. kolaensis,Alnus
Alnus incana/A. glutinosa,Alnus
Alnus incana-type,Alnus
Alnus pro parte,Alnus
Alnus rhombifolia-type,Alnus
Alnus rubra,Alnus
Alnus rubra-type,Alnus
Alnus rugosa,Alnus
Alnus rugosa-type,Alnus
Alnus serrulata,Alnus
Alnus serrulata-type,Alnus
Alnus sinuata,Alnus
Alnus sinuata-type,Alnus
Alnus sp.,Alnus
Alnus subg. Alnobetula,Alnus
Alnus undif.,Alnus
Alnus undiff.,Alnus
Alnus undifferentiated,Alnus
Alnus viridis,Alnus
Alnus viridis ssp. fruticosa,Alnus
Alnus viridis ssp. Fruticosa,Alnus
Alnus viridis subsp. crispa,Alnus
Alnus viridis subsp. crispa-type,Alnus
Alnus viridis subsp. fruticosa,Alnus
Alnus viridis subsp. fruticosa-type,Alnus
Alnus viridis subsp. sinuata,Alnus
Alnus viridis subsp. sinuata-type,Alnus
Alnus viridis subsp. suaveolens,Alnus
Alnus viridis type,Alnus
Alnus viridis-type,Alnus
Alnus(trees),Alnus
Alnus.shrub,Alnus
Alnus.tree,Alnus
Alnus/Alnaster,Alnus
Aloe,Asphodelaceae
Aloe-type,Asphodelaceae
Alona affinis,Delete
Alona guttata,Delete
"Alona rustica (type 72, HdV)",Delete
"Alona rustica (type 72A, HdV)",Delete
Alona sp.,Delete
Alona undiff.,Delete
Alonella excisa,Delete
Alonella nana,Delete
Aloysia,Aloysia
Aloysia wrightii,Aloysia
Alphitonia,Alphitonia
Alseis,Rubiaceae
Alseis blackiana,Rubiaceae
Alseis floribunda,Rubiaceae
Alseuosmiaceae,Alseuosmiaceae
Alsineae,Ranunculaceae
Alsophila,Delete
Alsophila cf. A. elegans,Delete
Alsophila setosa,Delete
Alsophila undiff.,Delete
Alsophila-type,Delete
Alstonia,Alstonia
Alstonia/Landolphia,Alstonia
Alstonia-type,Alstonia
Alstonieae,Apocynaceae
Alstroemeria,Alstroemeriaceae
Alstroemeria gayana,Alstroemeriaceae
Alstroemeriaceae,Alstroemeriaceae
Alstroemeriaceae tribe Alstroemerieae,Alstroemeriaceae
Alstroemeriaceae tribe Luzuriageae,Alstroemeriaceae
Alternanthera,Amaranthaceae
Alternanthera (type 1),Amaranthaceae
Alternanthera (type II),Amaranthaceae
Alternanthera comp.,Amaranthaceae
Alternanthera philoxeroides,Amaranthaceae
Alternanthera-type,Amaranthaceae
Alternaria,Delete
Althaea,Malvaceae
Althaea officinalis,Malvaceae
Altingia,Altingia
Altingia excelsa,Altingia
Altingia excelsa comp.,Altingia
Altingiaceae,Altingiaceae
Aluns,Alnus
Aluns(shrubs),Alnus
Alyssoides-type,Brassicaceae
Alyssum,Brassicaceae
Alyssum-type,Brassicaceae
Amaioua,Amaioua
Amanoa,Phyllanthaceae
Amanoa strobilacea,Phyllanthaceae
Amar.-Chenopod.,Amaranthaceae
Amaranthaceae,Amaranthaceae
Amaranthaceae (<20 µm),Amaranthaceae
Amaranthaceae (>20 µm),Amaranthaceae
Amaranthaceae (12 µm),Amaranthaceae
Amaranthaceae (small),Amaranthaceae
Amaranthaceae (type 1),Amaranthaceae
"Amaranthaceae (type 125, Julier & Gosling)",Amaranthaceae
"Amaranthaceae (type 133, Julier & Gosling)",Amaranthaceae
"Amaranthaceae (type 149, Julier & Gosling)",Amaranthaceae
"Amaranthaceae (type 194, Julier & Gosling)",Amaranthaceae
"Amaranthaceae (type 209, Julier & Gosling)",Amaranthaceae
Amaranthaceae (type A),Amaranthaceae
Amaranthaceae (type B),Amaranthaceae
Amaranthaceae (type C),Amaranthaceae
Amaranthaceae (type I),Amaranthaceae
Amaranthaceae (type II),Amaranthaceae
Amaranthaceae cf. Atriplex,Amaranthaceae
Amaranthaceae cf. Krascheninnikovia,Amaranthaceae
Amaranthaceae incertae sedis,Amaranthaceae
Amaranthaceae indet.,Amaranthaceae
Amaranthaceae sensu lato,Amaranthaceae
Amaranthaceae sensu lato undiff.,Amaranthaceae
Amaranthaceae sensu stricto,Amaranthaceae
Amaranthaceae sensu stricto undiff.,Amaranthaceae
Amaranthaceae sp.,Amaranthaceae
Amaranthaceae undiff.,Amaranthaceae
Amaranthaceae/Chenopodiaceae,Amaranthaceae
Amaranthaceae/Chenopodiaceae undiff.,Amaranthaceae
Amaranthaceae|clump|pollen|NISP,Amaranthaceae
Amaranthaceae|NA|pollen|NISP,Amaranthaceae
Amaranthaceae|pollen/spore|NISP,Amaranthaceae
Amaranthaceae|pollen|NISP,Amaranthaceae
Amaranthaceae-type,Amaranthaceae
Amaranthus,Amaranthaceae
Amaranthus australis,Amaranthaceae
Amaranthus fimbriatus,Amaranthaceae
Amaranthus retroflexus-type,Amaranthaceae
Amaranthus sp.,Amaranthaceae
Amaranthus-type,Amaranthaceae
Amaryllidaceae,Amaryllidaceae
Amaryllis,Amaryllidaceae
Ambrosia,Asteraceae
Ambrosia acanthicarpa,Asteraceae
Ambrosia artemisiifolia,Asteraceae
Ambrosia artemisiifolia-type,Asteraceae
Ambrosia artemisioides,Asteraceae
Ambrosia carduacea/A. dumosa,Asteraceae
Ambrosia confertiflora,Asteraceae
Ambrosia confertifolia,Asteraceae
Ambrosia dumosa,Asteraceae
Ambrosia hispida,Asteraceae
Ambrosia maritima,Asteraceae
Ambrosia salsola,Asteraceae
Ambrosia sp.,Asteraceae
Ambrosia/Iva,Asteraceae
Ambrosia/Iva annua,Asteraceae
Ambrosia/Iva ciliata,Asteraceae
Ambrosia/Xanthium,Asteraceae
Ambrosia-type,Asteraceae
Ambrosia-type (circular),Asteraceae
Ambrosiinae,Asteraceae
Amelanchier,Amelanchier
Amelanchier utahensis,Amelanchier
Amelanchier-type,Amelanchier
Ammannia,Lythraceae
Ammannia-type,Lythraceae
Ammannia-type (A. prieuriana),Lythraceae
Ammi,Apiaceae
Ammi majus,Apiaceae
Ammi-type,Apiaceae
Amoora,Amoora
Amorpha,Fabaceae
Amorpha canescens,Fabaceae
Amorpha cf. A. canescens,Fabaceae
Amorpha fruticosa,Fabaceae
Amorpha-type,Fabaceae
Amorpheae,Fabaceae
Amperea,Euphorbiaceae
Amperea xiphoclada,Euphorbiaceae
Amphimas,Amphimas
Amphiscirpus,Cyperaceae
Amphiscirpus nevadensis,Cyperaceae
Amphisphaerella dispersella,Delete
"Amphisphaerella dispersella (type 310, HdV)",Delete
Amphitrema,Delete
"Amphitrema (type 31, HdV)",Delete
Amphitrema flavum,Delete
Amphitrema sp.,Delete
Amphitrema undiff.,Delete
Amphitrema wrightianum,Delete
Amsinckia,Boraginaceae
Amsinckia intermedia,Boraginaceae
Amsinckia sp.,Boraginaceae
Amsinckia tessellata,Boraginaceae
Amsinckia/Cryptantha,Boraginaceae
Amsonia,Apocynaceae
Amsonia sp.,Apocynaceae
Amsonieae,Apocynaceae
Amyema,Loranthaceae
Amygdaloideae,Rosaceae
Amygdalus,Prunus
Amygdalus-type,Prunus
Amyris,Amyris
Anabaena,Delete
Anabasis,Amaranthaceae
Anacardiaceae,Anacardiaceae
Anacardiaceae (20 µm),Anacardiaceae
Anacardiaceae (type 16),Anacardiaceae
Anacardiaceae (type 19),Anacardiaceae
Anacardiaceae (type 20),Anacardiaceae
Anacardiaceae (type 25),Anacardiaceae
Anacardiaceae (type 30),Anacardiaceae
Anacardiaceae (type 35),Anacardiaceae
Anacardiaceae (type I),Anacardiaceae
Anacardiaceae (type II),Anacardiaceae
Anacardiaceae (type III),Anacardiaceae
Anacardiaceae cf. Loxopterygium,Anacardiaceae
Anacardiaceae cf. Schinus,Schinus
Anacardiaceae cf. Spondias,Spondias
Anacardiaceae undiff.,Anacardiaceae
Anacardiaceae-type,Anacardiaceae
Anacardiaceae-type undiff.,Anacardiaceae
Anacardium,Anacardium
Anacardium (type A),Anacardium
Anacardium (type B),Anacardium
Anacardium-type,Anacardium
Anacolosa uncifera,Olacaceae
Anadenanthera,Anadenanthera
"Anadenanthera (polyad, type 16)",Anadenanthera
"Anadenanthera (polyad, type 8)",Anadenanthera
Anagallis,Primulaceae
Anagallis arvensis,Primulaceae
Anagallis arvensis-type,Primulaceae
Anagallis cf. A. arvensis,Primulaceae
Anagallis cf. A. tenella,Primulaceae
Anagallis tenella,Primulaceae
Anagallis tenella/A. minima,Primulaceae
Anagallis tenella-type,Primulaceae
Anagallis type,Primulaceae
Anagallis-type,Primulaceae
Anarcardiaceae,Anacardiaceae
Anarrhinum,Plantaginaceae
Anarrhinum bel.,Plantaginaceae
Anarrhinum bellidifolium,Plantaginaceae
Anchusa,Boraginaceae
Anchusa arvensis,Boraginaceae
Anchusa arvensis-type,Boraginaceae
Anchusa azurea,Boraginaceae
Anchusa azurea-type,Boraginaceae
Anchusa officinalis,Boraginaceae
Anchusa/Pulmonaria,Boraginaceae
Anchusa-type,Boraginaceae
Andira,Andira
Andira-type,Andira
Andrachne,Phyllanthaceae
Andrachne telephioides,Phyllanthaceae
Andrachne?leptopus,Phyllanthaceae
Andrachneae,Phyllanthaceae
Andradea,Nyctaginaceae
Andromeda,Ericales
Andromeda glaucophylla,Ericales
Andromeda polifolia,Ericales
Andromeda polifolia var. latifolia,Ericales
Andromeda-type,Ericales
Andropogon,Poaceae
Andropogon barbinodis,Poaceae
Andropogon cf. A. barbinodis,Poaceae
Andropogon sp.,Poaceae
Androsace,Primulaceae
Androsace,Primulaceae
Androsace alpina-type,Primulaceae
Androsace elongata-type,Primulaceae
Androsaceae,Primulaceae
Androsace-type,Primulaceae
Androstachys,Androstachys
Andryala,Asteraceae
Andryala-type,Asteraceae
Aneilema,Commelinaceae
Anemia,Delete
Anemiaceae,Delete
Anemia-type,Delete
Anemone,Ranunculaceae
Anemone alpina,Ranunculaceae
Anemone canadensis-type,Ranunculaceae
Anemone coronaria,Ranunculaceae
Anemone coronaria-type,Ranunculaceae
Anemone cylindrica-type,Ranunculaceae
Anemone dahurica,Ranunculaceae
Anemone hepatica,Ranunculaceae
Anemone hepatica-type,Ranunculaceae
Anemone hortensis,Ranunculaceae
Anemone hortensis-type,Ranunculaceae
Anemone montana,Ranunculaceae
Anemone nemorosa,Ranunculaceae
Anemone nemorosa group,Ranunculaceae
Anemone nemorosa/A. ranunculoides,Ranunculaceae
Anemone nemorosa-type,Ranunculaceae
Anemone patens,Ranunculaceae
Anemone pulsatilla,Ranunculaceae
Anemone pulsatilla group,Ranunculaceae
Anemone pulsatilla-type,Ranunculaceae
Anemone quinquefolia-type,Ranunculaceae
