"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Papaveraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	25.5	"AWI"	25.5	4594	6593.5	5495.5	0	0	0	0	6.75675675675676	0	0	0	5.40540540540541	17.5675675675676	1.35135135135135	0	0	1.35135135135135	2.7027027027027	32.4324324324324	2.7027027027027	0	29.7297297297297	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	28	"AWI"	28	5166	7261	6229	4.76190476190476	0	0	0	2.85714285714286	0	0.952380952380952	0	4.76190476190476	20.952380952381	0	0	0	1.9047619047619	4.76190476190476	37.1428571428571	1.9047619047619	0	20	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	30.5	"AWI"	30.5	5936.5	7713	6977	0.961538461538462	0.961538461538462	0	0	3.84615384615385	0.961538461538462	0	0	3.84615384615385	17.3076923076923	0	0	0	0.961538461538462	6.73076923076923	32.6923076923077	0	0	29.8076923076923	1.92307692307692
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	33	"AWI"	33	6829	8089	7610	0.980392156862745	0	0	0	0.980392156862745	0.980392156862745	0	0	3.92156862745098	13.7254901960784	0	0	0	0.980392156862745	5.88235294117647	26.4705882352941	1.96078431372549	0	44.1176470588235	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	35.5	"AWI"	35.5	7186	8758.5	7981	0	0	0	0	0.909090909090909	0	0.909090909090909	0	5.45454545454545	1.81818181818182	0.909090909090909	2.72727272727273	0	0	1.81818181818182	30	0.909090909090909	0	54.5454545454545	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	38	"AWI"	38	7568	9186	8382	0	0	0	0	0.934579439252336	0	0.934579439252336	0	5.60747663551402	3.73831775700935	0.934579439252336	0.934579439252336	0	0	3.73831775700935	19.6261682242991	0	0	63.5514018691589	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	40.5	"AWI"	40.5	7926	9610	8800	0	0	0	0	0	0	1.8018018018018	0	4.5045045045045	0.900900900900901	1.8018018018018	2.7027027027027	0	0	0.900900900900901	18.9189189189189	0	0	68.4684684684685	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	43	"AWI"	43	8342	9967	9206	0.934579439252336	0.934579439252336	0	0	0	0	1.86915887850467	0	1.86915887850467	0	0.934579439252336	2.80373831775701	0	0	2.80373831775701	40.1869158878505	0	0	47.6635514018692	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	45.5	"AWI"	45.5	8838	10319	9601.5	0	0	0	0	0.934579439252336	0	1.86915887850467	0	5.60747663551402	0	0.934579439252336	1.86915887850467	0	0	4.67289719626168	83.1775700934579	0	0	0.934579439252336	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	48	"AWI"	48	9473	10632	10005	1.04166666666667	0	0	0	2.08333333333333	0	6.25	0	10.4166666666667	0	1.04166666666667	4.16666666666667	0	0	10.4166666666667	62.5	2.08333333333333	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	50.5	"AWI"	50.5	9819	11349.5	10452.5	0	0	0	0	1.02040816326531	0	4.08163265306122	0	15.3061224489796	0	0	2.04081632653061	1.02040816326531	0	40.8163265306122	32.6530612244898	3.06122448979592	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	53	"AWI"	53	10122	12310	10948	1.63934426229508	0	0	0	32.7868852459016	0	0	0	4.91803278688525	3.27868852459016	11.4754098360656	1.63934426229508	0	4.91803278688525	32.7868852459016	6.55737704918033	0	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	55.5	"AWI"	55.5	10381.5	13189	11451	3.75	0	0	0	42.5	0	2.5	0	0	5	26.25	0	0	20	0	0	0	0	0	0
