"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
202	202	"Anderson Lake"	46.41667	-92.71667	870	"AWI"	870	11750	12667	12232	1	0	13	2	25	0	32	0	0	1	0	3	4	32	0	0	0	9	20	0	18	0	0	6	280	7	0	11	0	4	9	10	4	0	16	0	1	0	14	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	880	"AWI"	880	11794	12710	12279	0	0	11	2	28	0	28	1	0	0	0	0	0	42	0	0	0	0	19	0	4	0	0	4	208	3	0	10	1	4	11	18	0	0	14	1	0	0	11	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	890	"AWI"	890	11834	12759	12325	3	0	5	3	16	0	24	1	0	0	0	0	0	17	1	0	0	0	26	0	6	0	0	3	241	2	0	5	0	1	6	8	0	0	2	1	1	0	5	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	900	"AWI"	900	11877	12805	12372	1	0	4	3	9	0	16	0	0	0	0	3	0	23	2	1	0	5	6	0	19	0	0	1	246	5	0	11	0	1	2	3	0	0	4	0	0	0	3	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	910	"AWI"	910	11922	12851	12421	0	0	5	2	12	0	9	0	0	0	0	0	1	24	1	0	0	0	9	0	12	0	0	3	250	6	0	4	0	2	4	2	0	0	1	0	0	0	2	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	920	"AWI"	920	11969	12897	12467	0	0	2	0	3	0	10	0	0	0	0	1	1	25	0	0	0	0	8	0	3	0	0	0	84	3	0	3	0	0	0	9	0	0	2	0	0	0	1	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	930	"AWI"	930	12013	12942	12513	0	0	3	1	7	0	16	1	0	0	0	0	0	38	0	0	0	0	15	0	2	0	0	1	67	2	0	3	0	1	0	2	0	0	2	0	1	0	2	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	940	"AWI"	940	12057	12990	12559	1	0	1	0	2	0	8	0	0	0	0	0	0	41	0	0	0	0	22	0	5	0	0	0	52	2	0	2	0	2	0	2	0	0	1	0	0	0	0	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	950	"AWI"	950	12101	13038	12606	0	0	2	0	8	0	6	0	0	0	0	0	0	25	0	0	3	0	14	0	2	0	0	1	73	3	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0
202	202	"Anderson Lake"	46.41667	-92.71667	960	"AWI"	960	12138	13078	12654	0	0	1	0	8	0	11	0	0	0	0	0	0	18	0	0	0	0	22	0	0	0	1	0	66	2	0	3	0	0	0	4	0	0	1	0	0	0	0	0	0
